Scraped Name,Exact Match,Potential Match,Needs Review,Club,Team,Matches,Wins,Losses,Draws,Win %,Record,Points,Divisions
Brandon Bester,Brandon Bester,,,Krugersdorp Golf Club,KDP BB A,35,14,14,7,40.00%,14-14-7,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Ashley Slater,Ashley Slater,,,Krugersdorp Golf Club,KDP BB A,34,12,17,5,35.30%,12-17-5,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Marius Vos,Marius Vos,,,Krugersdorp Golf Club,KDP BB A,39,11,22,6,28.20%,11-22-6,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Pieter Viljoen,Pieter Viljoen,,,Krugersdorp Golf Club,KDP BB A,35,11,22,2,31.40%,11-22-2,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Gareth Hannaway,Gareth Hannaway,,,Krugersdorp Golf Club,KDP BB A,17,9,7,1,52.90%,2009/07/01,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2021 - Betterball / B, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Jaco Bester,Jaco Bester,,,Krugersdorp Golf Club,KDP BB A,20,8,9,3,40.00%,2008/09/03,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Morne Breedt,Morne Breedt,,,Krugersdorp Golf Club,KDP BB A,14,8,5,1,57.10%,2008/05/01,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Francois Botha,Francois Botha,,,Krugersdorp Golf Club,KDP BB A,21,7,14,0,33.30%,7-14-0,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Wayne Nell,Wayne Nell,,,Krugersdorp Golf Club,KDP BB A,3,3,0,0,100.00%,3-0-0,0,2025 CGGU League Season - Betterball League / C Division
Duncan Pienaar,Duncan Pienaar,,,Krugersdorp Golf Club,KDP BB A,6,2,3,1,33.30%,2002/03/01,0,"2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Bennie Knoetze,Bennie Knoetze,,,Krugersdorp Golf Club,KDP BB A,2,1,1,0,50.00%,1-1-0,0,2025 CGGU League Season - Betterball League / C Division
Claude Kumm,Claude Kumm,,,Krugersdorp Golf Club,KDP BB A,4,1,1,2,25.00%,2001/01/02,0,2025 CGGU League Season - Betterball League / C Division
